name,position,team,games,pass_att,pass_cmp,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost,two_point
Saquon Barkley,RB,PHI,17,0,0,0,0,0,305,1500,12,55,42,320,2,1.8,0.2
Jahmyr Gibbs,RB,DET,17,0,0,0,0,0,250,1250,11,80,62,520,4,1.5,0.2
De'Von Achane,RB,MIA,17,0,0,0,0,0,230,1050,8,95,76,620,4,1.4,0.2
Ashton Jeanty,RB,LV,17,0,0,0,0,0,290,1300,10,60,46,360,2,1.7,0.2
Christian McCaffrey,RB,SF,17,0,0,0,0,0,240,1050,8,90,72,580,3,1.4,0.2
Jonathan Taylor,RB,IND,17,0,0,0,0,0,290,1350,11,40,30,230,1,1.7,0.2
Derrick Henry,RB,BAL,17,0,0,0,0,0,280,1350,13,25,18,140,1,1.7,0.2
Bucky Irving,RB,TB,17,0,0,0,0,0,250,1150,8,60,47,380,2,1.5,0.2
Josh Jacobs,RB,GB,17,0,0,0,0,0,265,1150,10,50,38,300,2,1.6,0.2
Kyren Williams,RB,LAR,17,0,0,0,0,0,265,1100,10,45,34,260,1,1.6,0.2
James Cook,RB,BUF,17,0,0,0,0,0,235,1050,9,45,34,270,2,1.4,0.2
Chase Brown,RB,CIN,17,0,0,0,0,0,245,1050,8,65,50,400,2,1.5,0.2
Omarion Hampton,RB,LAC,17,0,0,0,0,0,240,1000,7,45,34,260,1,1.4,0.2
Kenneth Walker III,RB,SEA,17,0,0,0,0,0,230,980,7,45,34,260,1,1.4,0.2
Breece Hall,RB,NYJ,17,0,0,0,0,0,220,920,6,60,46,360,2,1.3,0.2
Alvin Kamara,RB,NO,17,0,0,0,0,0,200,820,5,80,62,490,2,1.2,0.2
TreVeyon Henderson,RB,NE,17,0,0,0,0,0,210,900,6,50,38,300,2,1.3,0.2
Chuba Hubbard,RB,CAR,17,0,0,0,0,0,230,950,7,45,34,250,1,1.4,0.2
Tony Pollard,RB,TEN,17,0,0,0,0,0,220,900,6,50,38,290,1,1.3,0.2
David Montgomery,RB,DET,17,0,0,0,0,0,190,800,9,30,23,180,1,1.1,0.2
Aaron Jones,RB,MIN,17,0,0,0,0,0,200,830,5,55,42,330,1,1.2,0.2
Quinshon Judkins,RB,CLE,17,0,0,0,0,0,215,880,6,35,27,200,1,1.3,0.2
RJ Harvey,RB,DEN,17,0,0,0,0,0,190,800,6,45,34,270,2,1.1,0.2
Kaleb Johnson,RB,PIT,17,0,0,0,0,0,200,840,7,30,23,170,1,1.2,0.2
Isiah Pacheco,RB,KC,17,0,0,0,0,0,190,790,6,35,27,200,1,1.1,0.2
Brian Robinson Jr.,RB,WAS,17,0,0,0,0,0,175,730,6,25,19,140,1,1.1,0.2
Travis Etienne Jr.,RB,JAX,17,0,0,0,0,0,165,680,4,40,31,240,1,1.0,0.2
Javonte Williams,RB,DAL,17,0,0,0,0,0,170,700,4,40,30,220,1,1.0,0.2
Tyrone Tracy Jr.,RB,NYG,17,0,0,0,0,0,165,680,4,45,34,260,1,1.0,0.2
Trey Benson,RB,ARI,17,0,0,0,0,0,155,650,5,25,19,140,1,0.9,0.2
Rhamondre Stevenson,RB,NE,17,0,0,0,0,0,150,620,3,40,31,240,1,0.9,0.2
Jaylen Warren,RB,PIT,17,0,0,0,0,0,145,610,3,45,35,280,1,0.9,0.2
Rico Dowdle,RB,CAR,17,0,0,0,0,0,150,620,3,30,23,170,1,0.9,0.2
Najee Harris,RB,LAC,17,0,0,0,0,0,150,600,4,25,19,140,0,0.9,0.2
Cam Skattebo,RB,NYG,17,0,0,0,0,0,145,590,4,35,27,200,1,0.9,0.2
Jordan Mason,RB,MIN,17,0,0,0,0,0,140,590,4,20,15,110,0,0.8,0.2
Zach Charbonnet,RB,SEA,17,0,0,0,0,0,130,550,5,30,23,180,1,0.8,0.2
Nick Chubb,RB,HOU,17,0,0,0,0,0,130,520,4,15,11,80,0,0.8,0.2
Tank Bigsby,RB,JAX,17,0,0,0,0,0,130,550,4,15,11,80,0,0.8,0.2
Braelon Allen,RB,NYJ,17,0,0,0,0,0,130,540,4,25,19,140,1,0.8,0.2
Bhayshul Tuten,RB,JAX,17,0,0,0,0,0,125,530,3,25,19,150,1,0.8,0.2
Dylan Sampson,RB,CLE,17,0,0,0,0,0,120,500,3,30,23,180,1,0.7,0.2
Ray Davis,RB,BUF,17,0,0,0,0,0,110,460,3,25,19,140,1,0.7,0.2
Tyjae Spears,RB,TEN,17,0,0,0,0,0,105,440,2,30,23,170,1,0.6,0.2
Isaac Guerendo,RB,SF,17,0,0,0,0,0,100,430,3,25,19,140,1,0.6,0.2
Blake Corum,RB,LAR,17,0,0,0,0,0,100,420,2,20,15,110,0,0.6,0.2
Austin Ekeler,RB,WAS,17,0,0,0,0,0,100,400,2,50,39,300,1,0.6,0.2
Jaydon Blue,RB,DAL,17,0,0,0,0,0,90,380,2,30,23,170,1,0.5,0.2
Devin Neal,RB,NO,17,0,0,0,0,0,95,390,2,25,19,140,0,0.6,0.2
Roschon Johnson,RB,CHI,17,0,0,0,0,0,95,390,3,20,15,110,0,0.6,0.2
Will Shipley,RB,PHI,17,0,0,0,0,0,90,380,2,25,19,140,0,0.5,0.2
Kimani Vidal,RB,LAC,17,0,0,0,0,0,85,350,2,20,15,110,0,0.5,0.2
Jerome Ford,RB,CLE,17,0,0,0,0,0,85,350,2,25,19,140,0,0.5,0.2
MarShawn Lloyd,RB,GB,17,0,0,0,0,0,80,340,2,20,15,110,0,0.5,0.2
Ja'Marr Chase,WR,CIN,17,0,0,0,0,0,3,15,0,175,118,1650,13,0.9,0.2
Justin Jefferson,WR,MIN,17,0,0,0,0,0,2,10,0,165,108,1550,10,0.9,0.2
CeeDee Lamb,WR,DAL,17,0,0,0,0,0,6,35,0,165,110,1500,9,0.9,0.2
Puka Nacua,WR,LAR,17,0,0,0,0,0,12,70,1,155,108,1400,7,0.9,0.2
Malik Nabers,WR,NYG,17,0,0,0,0,0,4,20,0,165,105,1400,8,0.8,0.2
Amon-Ra St. Brown,WR,DET,17,0,0,0,0,0,5,25,0,150,108,1300,10,0.9,0.2
Brian Thomas Jr.,WR,JAX,17,0,0,0,0,0,5,30,0,150,95,1350,9,0.8,0.2
Nico Collins,WR,HOU,17,0,0,0,0,0,2,10,0,145,92,1350,9,0.7,0.2
Drake London,WR,ATL,17,0,0,0,0,0,2,8,0,155,100,1300,9,0.8,0.2
A.J. Brown,WR,PHI,17,0,0,0,0,0,2,10,0,140,88,1300,9,0.7,0.2
Tyreek Hill,WR,MIA,17,0,0,0,0,0,8,50,0,145,92,1250,8,0.7,0.2
Jaxon Smith-Njigba,WR,SEA,17,0,0,0,0,0,5,30,0,140,95,1200,7,0.8,0.2
Garrett Wilson,WR,NYJ,17,0,0,0,0,0,3,15,0,150,96,1200,7,0.8,0.2
Ladd McConkey,WR,LAC,17,0,0,0,0,0,4,25,0,140,94,1200,7,0.8,0.2
Marvin Harrison Jr.,WR,ARI,17,0,0,0,0,0,2,10,0,140,88,1200,9,0.7,0.2
Xavier Worthy,WR,KC,17,0,0,0,0,0,20,120,1,130,85,1100,7,0.7,0.2
Rome Odunze,WR,CHI,17,0,0,0,0,0,2,10,0,135,85,1150,8,0.7,0.2
Terry McLaurin,WR,WAS,17,0,0,0,0,0,2,10,0,130,82,1150,9,0.7,0.2
DK Metcalf,WR,PIT,17,0,0,0,0,0,2,10,0,130,80,1150,8,0.6,0.2
Mike Evans,WR,TB,17,0,0,0,0,0,0,0,0,125,78,1100,10,0.6,0.2
Davante Adams,WR,LAR,17,0,0,0,0,0,1,5,0,130,82,1100,9,0.7,0.2
Jaylen Waddle,WR,MIA,17,0,0,0,0,0,4,25,0,125,82,1050,5,0.7,0.2
Tee Higgins,WR,CIN,17,0,0,0,0,0,1,5,0,120,76,1050,8,0.6,0.2
Courtland Sutton,WR,DEN,17,0,0,0,0,0,1,5,0,125,78,1050,7,0.6,0.2
DJ Moore,WR,CHI,17,0,0,0,0,0,10,60,1,130,85,1050,6,0.7,0.2
Zay Flowers,WR,BAL,17,0,0,0,0,0,8,50,0,125,84,1050,6,0.7,0.2
Chris Olave,WR,NO,17,0,0,0,0,0,2,10,0,130,84,1050,6,0.7,0.2
Tetairoa McMillan,WR,CAR,17,0,0,0,0,0,1,5,0,130,82,1050,6,0.7,0.2
George Pickens,WR,DAL,17,0,0,0,0,0,2,12,0,120,74,1050,6,0.6,0.2
Jameson Williams,WR,DET,17,0,0,0,0,0,12,80,1,110,68,1050,7,0.5,0.2
Calvin Ridley,WR,TEN,17,0,0,0,0,0,1,5,0,120,72,1000,6,0.6,0.2
Jerry Jeudy,WR,CLE,17,0,0,0,0,0,2,10,0,125,78,1000,5,0.6,0.2
Rashee Rice,WR,KC,17,0,0,0,0,0,6,35,0,115,78,950,7,0.6,0.2
Jordan Addison,WR,MIN,17,0,0,0,0,0,2,12,0,110,70,950,6,0.6,0.2
Khalil Shakir,WR,BUF,17,0,0,0,0,0,8,45,0,115,82,900,5,0.7,0.2
Emeka Egbuka,WR,TB,17,0,0,0,0,0,3,18,0,110,70,900,6,0.6,0.2
Travis Hunter,WR,JAX,17,0,0,0,0,0,4,25,0,110,70,900,6,0.6,0.2
Keon Coleman,WR,BUF,17,0,0,0,0,0,1,5,0,105,62,900,6,0.5,0.2
Ricky Pearsall,WR,SF,17,0,0,0,0,0,5,30,0,105,68,900,5,0.5,0.2
Deebo Samuel Sr.,WR,WAS,17,0,0,0,0,0,30,180,2,105,72,850,5,0.6,0.2
Michael Pittman Jr.,WR,IND,17,0,0,0,0,0,1,5,0,110,72,850,5,0.6,0.2
Josh Downs,WR,IND,17,0,0,0,0,0,3,18,0,105,72,850,5,0.6,0.2
Chris Godwin,WR,TB,17,0,0,0,0,0,4,22,0,105,70,850,5,0.6,0.2
Jauan Jennings,WR,SF,17,0,0,0,0,0,2,10,0,100,66,850,6,0.5,0.2
Stefon Diggs,WR,NE,17,0,0,0,0,0,1,5,0,105,68,850,5,0.5,0.2
Darnell Mooney,WR,ATL,17,0,0,0,0,0,1,5,0,100,60,850,5,0.5,0.2
Rashid Shaheed,WR,NO,17,0,0,0,0,0,6,40,0,95,58,850,5,0.5,0.2
Matthew Golden,WR,GB,17,0,0,0,0,0,4,25,0,100,62,850,5,0.5,0.2
Jayden Reed,WR,GB,17,0,0,0,0,0,10,65,1,95,62,800,5,0.5,0.2
Cooper Kupp,WR,SEA,17,0,0,0,0,0,2,10,0,100,68,800,4,0.5,0.2
Marvin Mims Jr.,WR,DEN,17,0,0,0,0,0,8,55,0,90,58,800,5,0.5,0.2
Brandon Aiyuk,WR,SF,17,0,0,0,0,0,1,5,0,95,60,780,4,0.5,0.2
Jakobi Meyers,WR,LV,17,0,0,0,0,0,2,10,0,100,66,780,4,0.5,0.2
Christian Kirk,WR,HOU,17,0,0,0,0,0,2,10,0,95,62,750,4,0.5,0.2
Wan'Dale Robinson,WR,NYG,17,0,0,0,0,0,6,35,0,105,74,750,3,0.6,0.2
Luther Burden III,WR,CHI,17,0,0,0,0,0,8,50,0,90,56,720,4,0.4,0.2
Tre Tucker,WR,LV,17,0,0,0,0,0,5,32,0,90,56,720,4,0.4,0.2
Quentin Johnston,WR,LAC,17,0,0,0,0,0,1,5,0,90,54,720,5,0.4,0.2
Alec Pierce,WR,IND,17,0,0,0,0,0,0,0,0,75,42,720,4,0.3,0.2
Jalen McMillan,WR,TB,17,0,0,0,0,0,1,5,0,85,52,700,5,0.4,0.2
Adonai Mitchell,WR,IND,17,0,0,0,0,0,3,18,0,85,50,700,4,0.4,0.2
Kyle Williams,WR,NE,17,0,0,0,0,0,2,12,0,85,52,700,4,0.4,0.2
Romeo Doubs,WR,GB,17,0,0,0,0,0,1,5,0,85,54,680,4,0.4,0.2
Xavier Legette,WR,CAR,17,0,0,0,0,0,6,38,0,85,50,650,4,0.4,0.2
Cedric Tillman,WR,CLE,17,0,0,0,0,0,1,5,0,85,52,650,4,0.4,0.2
Tank Dell,WR,HOU,17,0,0,0,0,0,3,18,0,75,46,600,4,0.4,0.2
Dontayvion Wicks,WR,GB,17,0,0,0,0,0,1,5,0,75,46,600,4,0.4,0.2
Joshua Palmer,WR,BUF,17,0,0,0,0,0,0,0,0,80,48,620,3,0.4,0.2
Elic Ayomanor,WR,TEN,17,0,0,0,0,0,1,5,0,80,48,620,4,0.4,0.2
DeMario Douglas,WR,NE,17,0,0,0,0,0,4,25,0,80,54,620,3,0.4,0.2
Andrei Iosivas,WR,CIN,17,0,0,0,0,0,1,5,0,75,46,580,5,0.4,0.2
Isaiah Bond,WR,CLE,17,0,0,0,0,0,4,25,0,75,44,580,3,0.4,0.2
Roman Wilson,WR,PIT,17,0,0,0,0,0,2,12,0,75,46,580,3,0.4,0.2
Jalen Coker,WR,CAR,17,0,0,0,0,0,0,0,0,75,46,570,3,0.4,0.2
Kayshon Boutte,WR,NE,17,0,0,0,0,0,0,0,0,70,44,560,4,0.4,0.2
Brock Bowers,TE,LV,17,0,0,0,0,0,0,0,0,145,105,1200,8,0.5,0.2
Trey McBride,TE,ARI,17,0,0,0,0,0,0,0,0,140,100,1050,7,0.5,0.2
George Kittle,TE,SF,17,0,0,0,0,0,0,0,0,105,78,950,7,0.4,0.2
T.J. Hockenson,TE,MIN,17,0,0,0,0,0,0,0,0,105,75,800,5,0.4,0.2
Sam LaPorta,TE,DET,17,0,0,0,0,0,0,0,0,100,72,800,6,0.4,0.2
Travis Kelce,TE,KC,17,0,0,0,0,0,0,0,0,100,72,750,5,0.4,0.2
David Njoku,TE,CLE,17,0,0,0,0,0,0,0,0,100,70,720,5,0.4,0.2
Tyler Warren,TE,IND,17,0,0,0,0,0,0,0,0,95,66,720,5,0.3,0.2
Tucker Kraft,TE,GB,17,0,0,0,0,0,0,0,0,90,62,720,6,0.3,0.2
Mark Andrews,TE,BAL,17,0,0,0,0,0,0,0,0,90,62,700,7,0.3,0.2
Colston Loveland,TE,CHI,17,0,0,0,0,0,0,0,0,90,62,700,5,0.3,0.2
Evan Engram,TE,DEN,17,0,0,0,0,0,0,0,0,90,66,620,4,0.3,0.2
Dallas Goedert,TE,PHI,17,0,0,0,0,0,0,0,0,80,56,620,5,0.3,0.2
Jonnu Smith,TE,PIT,17,0,0,0,0,0,0,0,0,85,62,620,4,0.3,0.2
Dalton Kincaid,TE,BUF,17,0,0,0,0,0,0,0,0,85,58,620,5,0.3,0.2
Kyle Pitts Sr.,TE,ATL,17,0,0,0,0,0,0,0,0,85,56,620,4,0.3,0.2
Jake Ferguson,TE,DAL,17,0,0,0,0,0,0,0,0,85,60,580,4,0.3,0.2
Hunter Henry,TE,NE,17,0,0,0,0,0,0,0,0,80,56,560,4,0.3,0.2
Zach Ertz,TE,WAS,17,0,0,0,0,0,0,0,0,80,58,540,5,0.3,0.2
Cade Otton,TE,TB,17,0,0,0,0,0,0,0,0,80,56,540,4,0.3,0.2
Isaiah Likely,TE,BAL,17,0,0,0,0,0,0,0,0,70,48,520,5,0.2,0.2
Brenton Strange,TE,JAX,17,0,0,0,0,0,0,0,0,75,52,520,3,0.3,0.2
Pat Freiermuth,TE,PIT,17,0,0,0,0,0,0,0,0,75,52,520,4,0.3,0.2
Juwan Johnson,TE,NO,17,0,0,0,0,0,0,0,0,75,52,520,4,0.3,0.2
Mike Gesicki,TE,CIN,17,0,0,0,0,0,0,0,0,70,50,500,3,0.2,0.2
Chig Okonkwo,TE,TEN,17,0,0,0,0,0,0,0,0,70,48,500,3,0.2,0.2
Harold Fannin Jr.,TE,CLE,17,0,0,0,0,0,0,0,0,70,48,480,3,0.2,0.2
Elijah Arroyo,TE,SEA,17,0,0,0,0,0,0,0,0,65,44,480,3,0.2,0.2
Theo Johnson,TE,NYG,17,0,0,0,0,0,0,0,0,70,46,460,4,0.2,0.2
Ja'Tavion Sanders,TE,CAR,17,0,0,0,0,0,0,0,0,65,44,440,2,0.2,0.2
Dalton Schultz,TE,HOU,17,0,0,0,0,0,0,0,0,65,46,440,3,0.2,0.2
Noah Fant,TE,SEA,17,0,0,0,0,0,0,0,0,60,42,420,2,0.2,0.2
Luke Musgrave,TE,GB,17,0,0,0,0,0,0,0,0,55,38,400,3,0.2,0.2
Michael Mayer,TE,LV,17,0,0,0,0,0,0,0,0,55,38,380,2,0.2,0.2
AJ Barner,TE,SEA,17,0,0,0,0,0,0,0,0,55,38,380,4,0.2,0.2
